<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	49580.087	S	26617	0	0
snd	49580.188	SA	17531	0	26618
rcv	49580.807	A	26618	0	17532
rcv	49624.053	D	26618	50	17532
snd	49624.439	A	17532	0	26668
rcv	49883.478	D	26668	50	17532
snd	49883.624	A	17532	0	26718
rcv	49988.081	D	26718	50	17532
snd	49988.243	A	17532	0	26768
rcv	50126.669	D	26768	50	17532
snd	50126.807	A	17532	0	26818
rcv	50406.597	D	26868	50	17532
snd	50406.756	A	17532	0	26818
rcv	50482.232	D	26918	50	17532
snd	50482.344	A	17532	0	26818
rcv	50647.565	D	26968	50	17532
snd	50647.698	A	17532	0	26818
rcv	50856.491	D	27018	50	17532
snd	50856.648	A	17532	0	26818
rcv	51031.679	D	27068	50	17532
snd	51031.816	A	17532	0	26818
rcv	51244.939	D	26818	50	17532
snd	51245.076	A	17532	0	27118
rcv	51345.714	D	26868	50	17532
snd	51345.848	A	17532	0	27118
rcv	51577.263	D	27118	50	17532
snd	51577.53	A	17532	0	27168
rcv	51655.266	D	27168	50	17532
snd	51655.582	A	17532	0	27218
rcv	51871.287	D	27218	50	17532
snd	51871.427	A	17532	0	27268
rcv	51889.481	D	27268	50	17532
snd	51889.624	A	17532	0	27318
rcv	52089.087	D	27318	50	17532
snd	52089.319	A	17532	0	27368
rcv	52328.417	D	27368	50	17532
snd	52328.7	A	17532	0	27418
rcv	52574.178	D	27418	50	17532
snd	52574.329	A	17532	0	27468
rcv	52749.955	D	27468	50	17532
snd	52750.095	A	17532	0	27518
rcv	52842.174	D	27518	50	17532
snd	52842.329	A	17532	0	27568
rcv	52960.838	D	27568	50	17532
snd	52960.987	A	17532	0	27618
rcv	53146.143	D	27618	50	17532
snd	53146.301	A	17532	0	27668
rcv	53308.091	D	27668	50	17532
snd	53308.233	A	17532	0	27718
rcv	53470.301	D	27568	50	17532
snd	53470.449	A	17532	0	27718
rcv	53652.037	D	27718	50	17532
snd	53652.198	A	17532	0	27768
rcv	53664.835	D	27768	50	17532
snd	53664.972	A	17532	0	27818
rcv	53906.003	D	27818	50	17532
snd	53906.181	A	17532	0	27868
rcv	54089.42	D	27868	50	17532
snd	54089.569	A	17532	0	27918
rcv	54258.793	D	27918	50	17532
snd	54258.94	A	17532	0	27968
rcv	54343.315	D	27968	50	17532
snd	54343.486	A	17532	0	28018
rcv	54580.683	D	28018	50	17532
snd	54581.035	A	17532	0	28068
rcv	54686.849	D	28068	50	17532
snd	54686.994	A	17532	0	28118
rcv	54717.158	D	28118	50	17532
snd	54717.301	A	17532	0	28168
rcv	54901.745	D	28168	43	17532
snd	54901.889	A	17532	0	28211
rcv	55241.102	F	28211	0	17532
snd	55241.399	A	17532	0	28212
snd	55241.55	F	17532	0	28212
=====================================================
Amount of (original) Data Transferred (in bytes): 1593
Number of (original) Data Segments Received: 34
Number of duplicate segments received: 2
