<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.102	S	26617	0	0
rcv	1.03	SA	17531	0	26618
snd	1.129	A	26618	0	17532
snd	43.953	D	26618	50	17532
rcv	227.124	A	17532	0	26668
snd	303.766	D	26668	50	17532
rcv	322.695	A	17532	0	26718
snd	408.335	D	26718	50	17532
rcv	463.787	A	17532	0	26768
snd	546.942	D	26768	50	17532
drop	602.335	D	26818	50	17532
rcv	758.452	A	17532	0	26818
snd	826.793	D	26868	50	17532
snd	902.5	D	26918	50	17532
rcv	908.584	A	17532	0	26818
rcv	1027.176	A	17532	0	26818
snd	1067.864	D	26968	50	17532
snd	1276.687	D	27018	50	17532
rcv	1282.106	A	17532	0	26818
snd	1451.997	D	27068	50	17532
rcv	1482.159	A	17532	0	26818
rcv	1618.074	A	17532	0	26818
snd	1665.24	D	26818	50	17532
rcv	1725.947	A	17532	0	27118
snd	1765.959	D	26868	50	17532
rcv	1985.93	A	17532	0	27118
snd	1997.262	D	27118	50	17532
rcv	2009.246	A	17532	0	27168
snd	2075.304	D	27168	50	17532
rcv	2249.17	A	17532	0	27218
snd	2291.572	D	27218	50	17532
snd	2309.764	D	27268	50	17532
rcv	2392.75	A	17532	0	27268
snd	2509.371	D	27318	50	17532
rcv	2527.737	A	17532	0	27318
snd	2748.51	D	27368	50	17532
rcv	2758.659	A	17532	0	27368
rcv	2939.095	A	17532	0	27418
snd	2994.384	D	27418	50	17532
rcv	3081.407	A	17532	0	27468
snd	3170.252	D	27468	50	17532
snd	3262.425	D	27518	50	17532
rcv	3339.086	A	17532	0	27518
snd	3381.074	D	27568	50	17532
snd	3566.42	D	27618	50	17532
rcv	3579.057	A	17532	0	27568
snd	3728.288	D	27668	50	17532
rcv	3810.755	A	17532	0	27618
snd	3890.595	D	27568	50	17532
rcv	4035.341	A	17532	0	27668
snd	4072.322	D	27718	50	17532
snd	4085.126	D	27768	50	17532
rcv	4245.737	A	17532	0	27718
snd	4326.172	D	27818	50	17532
rcv	4496.826	A	17532	0	27718
snd	4509.713	D	27868	50	17532
rcv	4660.44	A	17532	0	27768
snd	4679.015	D	27918	50	17532
snd	4763.586	D	27968	50	17532
rcv	4929.083	A	17532	0	27818
snd	5000.807	D	28018	50	17532
rcv	5031.522	A	17532	0	27868
snd	5107.087	D	28068	50	17532
rcv	5107.237	A	17532	0	27918
rcv	5107.456	A	17532	0	27968
snd	5137.478	D	28118	50	17532
snd	5321.992	D	28168	43	17532
rcv	5340.861	A	17532	0	28018
rcv	5404.617	A	17532	0	28068
rcv	5497.086	A	17532	0	28118
rcv	5606.287	A	17532	0	28168
rcv	5661.003	A	17532	0	28211
snd	5661.404	F	28211	0	17532
rcv	5662.097	A	17532	0	28212
rcv	5662.227	F	17532	0	28212
snd	5662.332	A	20774	0	17533
=====================================================
Amount of (original) Data Transferred (in bytes): 1743
Number of Data Segments Sent (excluding retransmissions): 32
Number of (all) Packets Dropped (by the PLD module): 1
Number of (all) Packets Delayed (for the extended assignment only): 0
Number of Retransmitted Segments: 2
Number of Duplicate Acknowledgements received: 5
