<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	890.719	S	41816	0	0
snd	890.719	SA	14288	0	41817
rcv	890.719	A	41817	0	14289
rcv	1031.386	D	41817	50	14289
snd	1031.386	A	14289	0	41867
rcv	1047.018	D	41867	50	14289
snd	1047.018	A	14289	0	41917
rcv	1047.018	D	41917	50	14289
snd	1047.018	A	14289	0	41967
rcv	1047.018	D	41967	50	14289
snd	1047.018	A	14289	0	42017
rcv	1109.505	D	42067	50	14289
snd	1109.505	A	14289	0	42017
rcv	1109.505	D	42117	50	14289
snd	1109.505	A	14289	0	42017
rcv	1109.505	D	42167	50	14289
snd	1109.505	A	14289	0	42017
rcv	1109.505	D	42217	50	14289
snd	1109.505	A	14289	0	42017
rcv	1109.505	D	42267	50	14289
snd	1109.505	A	14289	0	42017
rcv	1125.149	D	42317	50	14289
snd	1125.149	A	14289	0	42017
rcv	1140.775	D	42017	50	14289
snd	1140.775	A	14289	0	42367
rcv	1203.253	D	42017	50	14289
snd	1203.253	A	14289	0	42367
rcv	1281.385	D	42367	50	14289
snd	1281.385	A	14289	0	42417
rcv	1375.177	D	42417	50	14289
snd	1375.177	A	14289	0	42467
rcv	1390.772	D	42467	50	14289
snd	1390.772	A	14289	0	42517
rcv	1406.43	D	42517	50	14289
snd	1406.43	A	14289	0	42567
rcv	1437.685	D	42567	50	14289
snd	1437.685	A	14289	0	42617
rcv	1437.685	D	42617	50	14289
snd	1437.685	A	14289	0	42667
rcv	1437.685	D	42667	50	14289
snd	1437.685	A	14289	0	42717
rcv	1563.106	D	42717	50	14289
snd	1563.106	A	14289	0	42767
rcv	1641.217	D	42767	50	14289
snd	1641.217	A	14289	0	42817
rcv	1719.349	D	42817	50	14289
snd	1719.349	A	14289	0	42867
rcv	1735.0	D	42867	50	14289
snd	1735.0	A	14289	0	42917
rcv	1750.63	D	42917	50	14289
snd	1750.63	A	14289	0	42967
rcv	1844.362	D	42967	50	14289
snd	1844.362	A	14289	0	43017
rcv	1859.989	D	43017	50	14289
snd	1859.989	A	14289	0	43067
rcv	1875.643	D	43067	50	14289
snd	1875.643	A	14289	0	43117
rcv	1922.523	D	43117	50	14289
snd	1922.523	A	14289	0	43167
rcv	1922.523	D	43167	50	14289
snd	1922.523	A	14289	0	43217
rcv	1922.523	D	43217	50	14289
snd	1922.523	A	14289	0	43267
rcv	1922.523	D	43267	50	14289
snd	1922.523	A	14289	0	43317
rcv	2031.913	D	43317	50	14289
snd	2031.913	A	14289	0	43367
rcv	2047.509	D	43367	43	14289
snd	2047.509	A	14289	0	43410
rcv	2141.3	F	43410	0	14289
snd	2141.3	A	14289	0	43411
snd	2141.3	F	14289	0	43411
=====================================================
Amount of (original) Data Transferred (in bytes): 1593
Number of Data Segments Sent (excluding retransmissions): 33
Number of Duplicate Acknowledgements received: 1
