<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	968.879	S	19828	0	0
snd	968.879	SA	9523	0	19829
rcv	968.879	A	19829	0	9524
rcv	1047.016	D	19829	50	9524
snd	1047.016	A	9524	0	19879
rcv	1047.016	D	19979	50	9524
snd	1047.016	A	9524	0	19879
rcv	1493.193	D	20029	50	9524
snd	1493.193	A	9524	0	19879
rcv	1493.193	D	20279	50	9524
snd	1493.193	A	9524	0	19879
rcv	1493.193	D	19879	50	9524
snd	1493.193	A	9524	0	19929
rcv	1493.193	D	19929	50	9524
snd	1493.193	A	9524	0	20079
rcv	1493.193	D	19979	50	9524
snd	1493.193	A	9524	0	20079
rcv	1493.193	D	20029	50	9524
snd	1493.193	A	9524	0	20079
rcv	1508.732	D	19979	50	9524
snd	1508.732	A	9524	0	20079
rcv	1508.732	D	20079	50	9524
snd	1508.732	A	9524	0	20129
rcv	1508.732	D	20129	50	9524
snd	1508.732	A	9524	0	20179
rcv	2336.97	D	20179	50	9524
snd	2336.97	A	9524	0	20229
rcv	2336.97	D	20179	50	9524
snd	2336.97	A	9524	0	20229
rcv	2336.97	D	20279	50	9524
snd	2336.97	A	9524	0	20229
rcv	2336.97	D	20379	50	9524
snd	2336.97	A	9524	0	20229
rcv	2336.97	D	20429	50	9524
snd	2336.97	A	9524	0	20229
rcv	2883.731	D	20479	50	9524
snd	2883.731	A	9524	0	20229
rcv	2883.731	D	20629	50	9524
snd	2883.731	A	9524	0	20229
rcv	2883.731	D	20279	50	9524
snd	2883.731	A	9524	0	20229
rcv	2899.354	D	20379	50	9524
snd	2899.354	A	9524	0	20229
rcv	3509.259	D	20579	50	9524
snd	3509.259	A	9524	0	20229
rcv	3509.259	D	20229	50	9524
snd	3509.259	A	9524	0	20329
rcv	3509.259	D	20379	50	9524
snd	3509.259	A	9524	0	20329
rcv	3509.259	D	20429	50	9524
snd	3509.259	A	9524	0	20329
rcv	3524.748	D	20479	50	9524
snd	3524.748	A	9524	0	20329
rcv	3524.748	D	20429	50	9524
snd	3524.748	A	9524	0	20329
rcv	3524.748	D	20479	50	9524
snd	3524.748	A	9524	0	20329
rcv	3540.373	D	20329	50	9524
snd	3540.373	A	9524	0	20529
rcv	3555.972	D	20929	50	9524
snd	3555.972	A	9524	0	20529
rcv	3772.395	D	20529	50	9524
snd	3772.395	A	9524	0	20679
rcv	3772.395	D	20779	50	9524
snd	3772.395	A	9524	0	20679
rcv	3787.996	D	20829	50	9524
snd	3787.996	A	9524	0	20679
rcv	3787.996	D	20979	50	9524
snd	3787.996	A	9524	0	20679
rcv	3787.996	D	20729	50	9524
snd	3787.996	A	9524	0	20679
rcv	3803.493	D	20779	50	9524
snd	3803.493	A	9524	0	20679
rcv	3803.493	D	20729	50	9524
snd	3803.493	A	9524	0	20679
rcv	3803.493	D	20829	50	9524
snd	3803.493	A	9524	0	20679
rcv	3803.493	D	20679	50	9524
snd	3803.493	A	9524	0	20879
rcv	3803.493	D	20929	50	9524
snd	3803.493	A	9524	0	20879
rcv	4022.464	D	21029	50	9524
snd	4022.464	A	9524	0	20879
rcv	4069.333	D	21079	50	9524
snd	4069.333	A	9524	0	20879
rcv	4084.754	D	21129	50	9524
snd	4084.754	A	9524	0	20879
rcv	4460.002	D	20879	50	9524
snd	4460.002	A	9524	0	21179
rcv	4694.185	D	21329	50	9524
snd	4694.185	A	9524	0	21179
rcv	4694.185	D	21279	50	9524
snd	4694.185	A	9524	0	21179
rcv	4694.185	D	21329	50	9524
snd	4694.185	A	9524	0	21179
rcv	4694.185	D	21479	50	9524
snd	4694.185	A	9524	0	21179
rcv	4834.936	D	21529	50	9524
snd	4834.936	A	9524	0	21179
rcv	4834.936	D	21229	50	9524
snd	4834.936	A	9524	0	21179
rcv	4866.079	D	21379	50	9524
snd	4866.079	A	9524	0	21179
rcv	4912.959	D	21279	50	9524
snd	4912.959	A	9524	0	21179
rcv	5475.754	D	21329	50	9524
snd	5475.754	A	9524	0	21179
rcv	5502.909	D	21229	50	9524
snd	5502.909	A	9524	0	21179
rcv	5509.959	D	21279	50	9524
snd	5509.959	A	9524	0	21179
rcv	5855.199	D	21329	50	9524
snd	5855.199	A	9524	0	21179
rcv	5855.199	D	21429	50	9524
snd	5855.199	A	9524	0	21179
rcv	5870.826	D	21179	50	9524
snd	5870.826	A	9524	0	21579
rcv	5886.453	D	21329	50	9524
snd	5886.453	A	9524	0	21579
rcv	5886.453	D	21379	50	9524
snd	5886.453	A	9524	0	21579
rcv	6838.736	D	21629	50	9524
snd	6838.736	A	9524	0	21579
rcv	6838.736	D	21579	50	9524
snd	6838.736	A	9524	0	21679
rcv	6838.736	D	21579	50	9524
snd	6838.736	A	9524	0	21679
rcv	6838.736	D	21729	50	9524
snd	6838.736	A	9524	0	21679
rcv	6854.389	D	21679	50	9524
snd	6854.389	A	9524	0	21779
rcv	6854.389	D	21779	4	9524
snd	6854.389	A	9524	0	21783
rcv	6885.615	F	21783	0	9524
snd	6885.615	A	9524	0	21784
snd	6885.615	F	9524	0	21784
=====================================================
Amount of (original) Data Transferred (in bytes): 1954
Number of (original) Data Segments Received: 65
Number of duplicate segments received: 25
