<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	1057.158	S	15361	0	0
snd	1057.158	SA	38787	0	15362
rcv	1057.158	A	15362	0	38788
rcv	1083.225	D	15362	50	38788
snd	1083.225	A	38788	0	15412
rcv	1088.238	D	15462	50	38788
snd	1088.238	A	38788	0	15412
rcv	1093.251	D	15512	50	38788
snd	1093.251	A	38788	0	15412
rcv	1108.292	D	15562	50	38788
snd	1108.292	A	38788	0	15412
rcv	1366.98	D	15412	50	38788
snd	1366.98	A	38788	0	15612
rcv	1371.992	D	15512	50	38788
snd	1371.992	A	38788	0	15612
rcv	1383.05	D	15562	50	38788
snd	1383.05	A	38788	0	15612
rcv	1389.038	D	15612	50	38788
snd	1389.038	A	38788	0	15662
rcv	1394.084	D	15662	50	38788
snd	1394.084	A	38788	0	15712
rcv	1399.095	D	15712	50	38788
snd	1399.095	A	38788	0	15762
rcv	2215.236	D	15762	50	38788
snd	2215.236	A	38788	0	15812
rcv	2225.261	D	15812	50	38788
snd	2225.261	A	38788	0	15862
rcv	2235.288	D	15862	50	38788
snd	2235.288	A	38788	0	15912
rcv	2240.302	D	15912	50	38788
snd	2240.302	A	38788	0	15962
rcv	2240.302	D	16012	50	38788
snd	2240.302	A	38788	0	15962
rcv	2240.302	D	16062	50	38788
snd	2240.302	A	38788	0	15962
rcv	2246.325	D	16112	50	38788
snd	2246.325	A	38788	0	15962
rcv	2251.331	D	16162	50	38788
snd	2251.331	A	38788	0	15962
rcv	2261.357	D	16212	50	38788
snd	2261.357	A	38788	0	15962
rcv	2261.357	D	15962	50	38788
snd	2261.357	A	38788	0	16262
rcv	2813.854	D	16262	50	38788
snd	2813.854	A	38788	0	16312
rcv	2818.867	D	16312	50	38788
snd	2818.867	A	38788	0	16362
rcv	2824.855	D	16362	50	38788
snd	2824.855	A	38788	0	16412
rcv	2824.855	D	16412	50	38788
snd	2824.855	A	38788	0	16462
rcv	3828.683	D	16462	50	38788
snd	3828.683	A	38788	0	16512
rcv	3833.697	D	16512	50	38788
snd	3833.697	A	38788	0	16562
rcv	4410.23	D	16562	50	38788
snd	4410.23	A	38788	0	16612
rcv	4415.243	D	16612	50	38788
snd	4415.243	A	38788	0	16662
rcv	4425.27	D	16662	50	38788
snd	4425.27	A	38788	0	16712
rcv	5301.599	D	16712	50	38788
snd	5301.599	A	38788	0	16762
rcv	5316.64	D	16762	50	38788
snd	5316.64	A	38788	0	16812
rcv	5316.64	D	16812	50	38788
snd	5316.64	A	38788	0	16862
rcv	5821.008	D	16862	50	38788
snd	5821.008	A	38788	0	16912
rcv	5821.008	D	16912	50	38788
snd	5821.008	A	38788	0	16962
rcv	5832.039	D	16962	50	38788
snd	5832.039	A	38788	0	17012
rcv	5929.439	D	17012	50	38788
snd	5929.439	A	38788	0	17062
rcv	6000.657	D	17062	50	38788
snd	6000.657	A	38788	0	17112
rcv	6000.657	D	17112	50	38788
snd	6000.657	A	38788	0	17162
rcv	6011.658	D	17162	50	38788
snd	6011.658	A	38788	0	17212
rcv	6021.684	D	17212	50	38788
snd	6021.684	A	38788	0	17262
rcv	6026.727	D	17262	50	38788
snd	6026.727	A	38788	0	17312
rcv	6031.74	D	17312	4	38788
snd	6031.74	A	38788	0	17316
rcv	6037.727	F	17316	0	38788
snd	6039.735	A	38788	0	17317
snd	6039.735	F	38788	0	17317
=====================================================
Amount of (original) Data Transferred (in bytes): 1954
Number of (original) Data Segments Received: 42
Number of duplicate segments received: 2
