<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.0	S	36224	0	0
rcv	15.611	SA	42480	0	36225
snd	15.611	A	36225	0	42481
drop	140.64	D	36225	50	42481
snd	140.849	D	36275	50	42481
rcv	172.127	A	42481	0	36225
snd	187.729	D	36325	50	42481
rcv	218.983	A	42481	0	36225
snd	218.983	D	36375	50	42481
snd	218.983	D	36425	50	42481
rcv	265.876	A	42481	0	36225
snd	265.876	D	36475	50	42481
rcv	265.876	A	42481	0	36225
snd	265.876	D	36225	50	42481
snd	281.489	D	36525	50	42481
rcv	281.489	A	42481	0	36225
rcv	281.489	A	42481	0	36525
snd	281.489	D	36575	50	42481
rcv	297.117	A	42481	0	36575
rcv	312.77	A	42481	0	36625
drop	343.995	D	36625	50	42481
drop	343.995	D	36675	50	42481
snd	343.995	D	36625	50	42481
rcv	359.647	A	42481	0	36675
snd	359.647	D	36725	50	42481
rcv	406.502	A	42481	0	36675
snd	406.502	D	36775	50	42481
rcv	453.41	A	42481	0	36675
snd	484.667	D	36825	50	42481
rcv	500.262	A	42481	0	36675
drop	515.889	D	36875	50	42481
snd	547.173	D	36675	50	42481
rcv	562.8	A	42481	0	36875
drop	562.8	D	36875	50	42481
snd	562.8	D	36925	50	42481
rcv	594.053	A	42481	0	36875
snd	594.053	D	36975	50	42481
snd	594.053	D	37025	50	42481
drop	594.053	D	37075	50	42481
rcv	609.678	A	42481	0	36875
rcv	640.902	A	42481	0	36875
snd	640.902	D	37125	50	42481
rcv	656.556	A	42481	0	36875
snd	687.809	D	36875	50	42481
rcv	734.662	A	42481	0	37075
snd	734.662	D	36925	50	42481
snd	750.319	D	37075	50	42481
snd	750.319	D	37175	50	42481
rcv	750.319	A	42481	0	37075
drop	750.319	D	37225	50	42481
snd	750.319	D	37275	50	42481
rcv	765.915	A	42481	0	37175
snd	765.915	D	37325	50	42481
rcv	765.915	A	42481	0	37225
snd	765.915	D	37375	50	42481
rcv	781.575	A	42481	0	37225
rcv	797.2	A	42481	0	37225
rcv	797.2	A	42481	0	37225
snd	828.453	D	37425	50	42481
rcv	844.049	A	42481	0	37225
snd	890.962	D	37225	50	42481
drop	906.587	D	37275	50	42481
snd	906.587	D	37325	50	42481
rcv	906.587	A	42481	0	37475
rcv	922.211	A	42481	0	37475
snd	922.211	D	37375	50	42481
rcv	969.093	A	42481	0	37475
snd	969.093	D	37475	50	42481
snd	1015.973	D	37525	50	42481
rcv	1031.599	A	42481	0	37525
rcv	1031.599	A	42481	0	37575
snd	1062.853	D	37575	50	42481
drop	1078.479	D	37625	50	42481
snd	1078.479	D	37675	50	42481
rcv	1094.102	A	42481	0	37625
rcv	1109.702	A	42481	0	37625
drop	1109.702	D	37725	50	42481
drop	1109.702	D	37775	43	42481
snd	1172.238	D	37625	50	42481
rcv	1187.866	A	42481	0	37725
snd	1265.968	D	37675	50	42481
rcv	1297.222	A	42481	0	37725
snd	1344.102	D	37725	50	42481
rcv	1359.728	A	42481	0	37775
snd	1531.647	D	37775	43	42481
rcv	1547.248	A	42481	0	37818
snd	1578.502	F	37818	0	42481
rcv	1578.502	A	42481	0	37819
rcv	1578.502	F	42481	0	37819
=====================================================
Amount of (original) Data Transferred (in bytes): 2336
Number of Data Segments Sent (excluding retransmissions): 32
Number of (all) Packets Dropped (by the PLD module): 11
Number of (all) Packets Delayed (for the extended assignment only): 0
Number of Retransmitted Segments: 11
Number of Duplicate Acknowledgements received: 15
