<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.0	S	19828	0	0
rcv	0.0	SA	9523	0	19829
snd	0.0	A	19829	0	9524
snd	78.136	D	19829	50	9524
rcv	78.136	A	9524	0	19879
drop	78.136	D	19879	50	9524
drop	78.136	D	19929	50	9524
snd	78.136	D	19979	50	9524
rcv	93.738	A	9524	0	19879
snd	93.738	D	20029	50	9524
rcv	524.314	A	9524	0	19879
drop	524.314	D	20079	50	9524
drop	524.314	D	20129	50	9524
drop	524.314	D	20179	50	9524
drop	524.314	D	20229	50	9524
snd	524.314	D	20279	50	9524
snd	524.314	D	19879	50	9524
snd	524.314	D	19929	50	9524
snd	524.314	D	19979	50	9524
snd	524.314	D	20029	50	9524
rcv	524.314	A	9524	0	19879
rcv	524.314	A	9524	0	19929
drop	539.852	D	19879	50	9524
drop	539.852	D	19929	50	9524
snd	539.852	D	19979	50	9524
rcv	539.852	A	9524	0	20079
snd	539.852	D	20079	50	9524
snd	539.852	D	20129	50	9524
rcv	539.852	A	9524	0	20079
snd	539.852	D	20179	50	9524
rcv	539.852	A	9524	0	20079
rcv	539.852	A	9524	0	20079
rcv	539.852	A	9524	0	20129
rcv	539.852	A	9524	0	20179
rcv	1368.09	A	9524	0	20229
snd	1368.09	D	20179	50	9524
rcv	1368.09	A	9524	0	20229
drop	1368.09	D	20229	50	9524
snd	1368.09	D	20279	50	9524
drop	1368.09	D	20329	50	9524
snd	1368.09	D	20379	50	9524
rcv	1368.09	A	9524	0	20229
rcv	1368.09	A	9524	0	20229
snd	1368.09	D	20429	50	9524
drop	1368.09	D	20229	50	9524
snd	1368.09	D	20479	50	9524
rcv	1383.739	A	9524	0	20229
rcv	1914.852	A	9524	0	20229
drop	1914.852	D	20529	50	9524
drop	1914.852	D	20579	50	9524
snd	1914.852	D	20629	50	9524
rcv	1914.852	A	9524	0	20229
drop	1914.852	D	20229	50	9524
snd	1914.852	D	20279	50	9524
rcv	1930.474	A	9524	0	20229
drop	1930.474	D	20329	50	9524
snd	1930.474	D	20379	50	9524
rcv	1930.474	A	9524	0	20229
drop	1930.474	D	20429	50	9524
drop	1930.474	D	20479	50	9524
drop	1930.474	D	20529	50	9524
snd	1930.474	D	20579	50	9524
rcv	2540.38	A	9524	0	20229
snd	2540.38	D	20229	50	9524
rcv	2540.38	A	9524	0	20329
drop	2540.38	D	20279	50	9524
drop	2540.38	D	20329	50	9524
snd	2540.38	D	20379	50	9524
rcv	2540.38	A	9524	0	20329
snd	2540.38	D	20429	50	9524
rcv	2540.38	A	9524	0	20329
snd	2555.868	D	20479	50	9524
rcv	2555.868	A	9524	0	20329
drop	2555.868	D	20329	50	9524
drop	2555.868	D	20379	50	9524
snd	2555.868	D	20429	50	9524
rcv	2555.868	A	9524	0	20329
snd	2555.868	D	20479	50	9524
rcv	2555.868	A	9524	0	20329
drop	2555.868	D	20529	50	9524
drop	2571.493	D	20579	50	9524
drop	2571.493	D	20629	50	9524
