<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.0	S	15361	0	0
rcv	0.0	SA	38787	0	15362
snd	0.0	A	15362	0	38788
snd	26.068	D	15362	50	38788
drop	31.081	D	15412	50	38788
snd	31.081	D	15462	50	38788
rcv	36.094	A	38788	0	15412
snd	36.094	D	15512	50	38788
rcv	51.134	A	38788	0	15412
rcv	51.134	A	38788	0	15412
snd	51.134	D	15562	50	38788
rcv	56.147	A	38788	0	15412
snd	56.147	D	15412	50	38788
rcv	314.835	A	38788	0	15612
drop	314.835	D	15462	50	38788
snd	314.835	D	15512	50	38788
rcv	319.876	A	38788	0	15612
snd	325.893	D	15562	50	38788
snd	331.88	D	15612	50	38788
rcv	331.88	A	38788	0	15612
snd	336.927	D	15662	50	38788
snd	341.938	D	15712	50	38788
snd	346.948	D	15762	50	38788
rcv	351.961	A	38788	0	15662
rcv	351.961	A	38788	0	15712
rcv	357.949	A	38788	0	15762
rcv	1163.091	A	38788	0	15812
snd	1168.104	D	15812	50	38788
rcv	1178.13	A	38788	0	15862
snd	1178.13	D	15862	50	38788
rcv	1183.144	A	38788	0	15912
snd	1183.144	D	15912	50	38788
drop	1183.144	D	15962	50	38788
snd	1183.144	D	16012	50	38788
snd	1183.144	D	16062	50	38788
rcv	1183.144	A	38788	0	15962
rcv	1189.168	A	38788	0	15962
snd	1189.168	D	16112	50	38788
rcv	1194.174	A	38788	0	15962
snd	1194.174	D	16162	50	38788
rcv	1194.174	A	38788	0	15962
rcv	1204.2	A	38788	0	15962
snd	1204.2	D	16212	50	38788
snd	1204.2	D	15962	50	38788
rcv	1209.213	A	38788	0	15962
rcv	1209.213	A	38788	0	16262
snd	1229.266	D	16262	50	38788
rcv	1761.709	A	38788	0	16312
snd	1761.709	D	16312	50	38788
snd	1767.698	D	16362	50	38788
rcv	1767.698	A	38788	0	16362
snd	1767.698	D	16412	50	38788
snd	1767.698	D	16462	50	38788
rcv	1772.744	A	38788	0	16412
rcv	1777.752	A	38788	0	16462
snd	2776.539	D	16512	50	38788
snd	2781.552	D	16562	50	38788
rcv	2797.623	A	38788	0	16512
rcv	2797.623	A	38788	0	16562
snd	3358.086	D	16612	50	38788
snd	3368.112	D	16662	50	38788
rcv	3373.126	A	38788	0	16612
snd	3378.139	D	16712	50	38788
rcv	3388.166	A	38788	0	16662
rcv	3388.166	A	38788	0	16712
rcv	4249.455	A	38788	0	16762
snd	4259.482	D	16762	50	38788
snd	4259.482	D	16812	50	38788
snd	4264.496	D	16862	50	38788
rcv	4284.549	A	38788	0	16812
rcv	4284.549	A	38788	0	16862
snd	4763.85	D	16912	50	38788
snd	4774.882	D	16962	50	38788
snd	4774.882	D	17012	50	38788
rcv	4780.868	A	38788	0	16912
rcv	4780.868	A	38788	0	16962
rcv	4785.881	A	38788	0	17012
snd	4877.322	D	17062	50	38788
rcv	4893.337	A	38788	0	17062
snd	4943.499	D	17112	50	38788
rcv	4949.487	A	38788	0	17112
rcv	4954.5	A	38788	0	17162
snd	4954.5	D	17162	50	38788
snd	4964.527	D	17212	50	38788
rcv	4964.527	A	38788	0	17212
rcv	4969.57	A	38788	0	17262
snd	4969.57	D	17262	50	38788
snd	4974.583	D	17312	4	38788
rcv	4974.583	A	38788	0	17312
rcv	4980.569	A	38788	0	17316
snd	4980.569	F	17316	0	38788
rcv	4982.577	A	38788	0	17317
rcv	4982.577	F	38788	0	17317
=====================================================
Amount of (original) Data Transferred (in bytes): 2204
Number of Data Segments Sent (excluding retransmissions): 40
Number of (all) Packets Dropped (by the PLD module): 3
Number of (all) Packets Delayed (for the extended assignment only): 9
Number of Retransmitted Segments: 3
Number of Duplicate Acknowledgements received: 9
